Date,SPY,AAPL,GOOG,MRK,JNJ,WMT,TGT
10/3/19,0.0082,0.0085,0.0095,0.0137,-0.0061,0.0016,0.0139
10/4/19,0.0135,0.028,0.0178,0.0273,0.0188,0.0159,0.0233
10/7/19,-0.0043,2e-04,-0.0011,-0.0072,-0.0037,-0.0079,-0.0105
10/8/19,-0.0155,-0.0117,-0.0154,-0.013,-0.0099,0.003,0.0053
10/9/19,0.0095,0.0117,0.0111,0.0107,-0.0199,0.0115,0.017
10/10/19,0.0068,0.0135,0.0053,-0.005,-0.0012,0.0057,0.0019
10/11/19,0.0104,0.0266,0.0056,0.0069,0.0176,0.0053,0.0114
10/14/19,-0.0011,-0.0014,0.0014,0.0041,-0.0046,-0.0089,-0.0061
10/15/19,0.0099,-0.0023,0.0213,0.0041,0.0162,0.003,0.0067
10/16/19,-0.0016,-0.004,5e-04,-0.0069,0.0175,-9.00E-04,0.0027
10/17/19,0.0029,0.0039,0.0076,-0.0077,0.0074,0.0035,0.0093
10/18/19,-0.0044,0.0048,-0.006,0.0105,-0.0622,-0.0058,-0.0037
10/21/19,0.0068,0.0173,5e-04,-0.0019,0.0025,0.005,0.0077
10/22/19,-0.0033,-0.0023,-0.0027,-0.0381,0.0092,-0.0013,-0.0043
10/23/19,0.0029,0.0134,0.0131,0.0193,0.0054,-0.0019,-0.0162
10/24/19,0.0016,0.0016,0.0015,-0.0035,-0.0185,-0.0021,-0.01
10/25/19,0.0041,0.0123,0.0033,-0.0039,0.0067,-5.00E-04,-0.0112
10/28/19,0.0056,0.01,0.0197,-7.00E-04,0.0065,0.0015,0.0064
10/29/19,-3.00E-04,-0.0231,-0.0212,0.0353,-5.00E-04,-0.0174,-0.0143
10/30/19,0.0031,-1.00E-04,-0.0011,0.0132,0.0288,0.0081,-0.002
10/31/19,-0.0027,0.0226,-9.00E-04,0.0051,-0.006,-0.0071,-0.0095
11/1/19,0.0093,0.0284,0.0108,-0.0198,-0.0064,0.0031,0.0085
11/4/19,0.004,0.0066,0.0138,-0.0122,-0.0074,-4.00E-04,0.0088
11/5/19,-0.0011,-0.0014,5e-04,-0.0117,0.0015,0.011,0.0119
11/6/19,2e-04,4e-04,-2.00E-04,0.004,0.0041,0.0054,0.0041
11/7/19,0.0035,0.0115,0.0132,-0.0044,0.0036,0.0061,7e-04
11/8/19,0.0025,0.0027,0.0019,0.0086,0.0119,-0.0066,-0.004
11/11/19,-0.0019,0.0079,-0.0093,-0.0037,-0.0077,-0.0033,0.0027
11/12/19,0.0021,-9.00E-04,-3.00E-04,0.0101,-0.0048,7e-04,-0.019
11/13/19,3e-04,0.0096,-6.00E-04,0.0083,-6.00E-04,0.0156,0.0021
11/14/19,0.0015,-0.0069,0.0104,-0.0032,-0.0024,-0.0027,0.0233
11/15/19,0.0072,0.0119,0.0179,0.0041,0.0304,-0.0148,0.0189
11/18/19,7e-04,0.005,-0.0106,-0.0091,-8.00E-04,0.0116,-0.011
11/19/19,-3.00E-04,-0.003,-0.004,0.0062,-1.00E-04,-0.003,-0.004
11/20/19,-0.0037,-0.0116,-0.0094,0.0073,0.0083,-0.0063,0.1406
11/21/19,-0.0016,-0.0045,-0.0013,0.0022,0.0037,0.0061,0.0096
11/22/19,0.0022,-9.00E-04,-0.0046,-1.00E-04,0.0119,-0.0042,-0.0049
11/25/19,0.0078,0.0175,0.0088,0.0029,4e-04,-0.0037,-0.0144
11/26/19,0.0023,-0.0078,0.0052,0.0191,-1.00E-04,0.0023,0.0136
11/27/19,0.0045,0.0134,-4.00E-04,0.0031,0.0042,-0.0036,-0.0078
11/29/19,-0.0037,-0.0022,-0.0061,-0.0049,-0.0019,0.0028,-0.0071
12/2/19,-0.0085,-0.0116,-0.0115,-0.0016,-9.00E-04,0.0016,-0.0082
12/3/19,-0.0067,-0.0178,0.0042,0.0039,-0.0015,-0.0051,5e-04
12/4/19,0.0062,0.0088,0.0195,0.0148,0.0162,2e-04,0.0039
12/5/19,0.0018,0.0147,0.0057,9e-04,0.0013,0.0042,0.0013
12/6/19,0.0091,0.0193,0.0094,0.0011,0.0059,0.0094,0.0028
12/9/19,-0.0031,-0.014,0.0022,-0.0015,9e-04,-0.0035,0.0114
12/10/19,-0.0011,0.0058,8e-04,0.0043,-0.0036,-0.0018,-0.0054
12/11/19,0.0028,0.0085,3e-04,-0.0013,0.0071,-0.0012,2e-04
12/12/19,0.0086,0.0025,0.0039,0.0066,0.0026,0.0064,0.0137
12/13/19,6e-04,0.0136,-0.0018,0.0026,3e-04,0.0044,-0.0024
12/16/19,0.0069,0.0171,0.0099,0.0011,0.0029,0.0021,-0.0099
12/17/19,2e-04,0.002,-0.0044,-0.003,0.0125,0.0061,0.0192
12/18/19,1e-04,-0.0024,-0.0018,0.0067,-0.0026,-0.0117,-0.0023
12/19/19,0.0041,0.001,0.0025,0.0041,0.0151,0.0018,0.0048
12/20/19,0.0044,-0.0021,-0.0048,0.0177,0.0049,0.0017,0.0035
12/23/19,0.0015,0.0163,-6.00E-04,0.0017,0.0026,-0.0105,-0.0063
12/24/19,0,0.001,-0.0039,-0.0033,-0.0035,0.004,0.0016
